 nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, Auth, Trans
0,54,44,100,49,-6,10,9,4
0,58,39,100,32,-7,21,9,4
0,56,38,100,23,-8,10,9,4
0,58,36,100,4,-10,10,9,4
0,59,36,100,11,-11,10,9,4
0,62,38,100,7,-13,15,9,4
0,95,30,100,41,-39,40,9,4
0,107,65,100,49,-55,32,9,4
0,114,64,100,59,-46,65,9,4
0,126,76,100,32,-62,63,9,4
0,115,77,100,46,-39,76,9,4
0,114,82,100,15,-37,77,9,4
0,121,87,100,29,-41,83,9,4
0,133,90,100,17,-53,87,9,4
0,130,97,100,15,-46,90,9,4
0,140,96,100,18,-53,97,9,4
0,136,103,100,11,-48,97,9,4
0,155,103,100,26,-70,101,9,4
0,137,106,100,13,-42,104,9,4
0,141,110,100,9,-45,106,9,4
0,140,110,100,32,-39,110,9,4
0,153,104,100,18,-59,110,9,4
0,145,102,100,8,-53,105,9,4
0,122,98,100,19,-23,99,9,4
0,107,87,100,53,-9,91,9,4
0,134,78,100,17,-54,88,9,4
0,128,68,100,37,-54,78,9,4
0,140,59,100,74,-78,63,9,4
0,118,60,100,27,-54,61,9,4
0,131,62,100,9,-71,56,9,4
0,134,65,100,20,-74,57,9,4
0,122,72,100,8,-56,65,9,4
0,125,86,100,24,-54,73,9,4
0,118,95,100,48,-34,85,9,4
0,122,96,100,38,-30,94,9,4
0,138,104,100,24,-51,97,9,4
0,151,111,100,34,-63,103,9,4
1,144,110,100,22,-44,111,9,4
1,147,103,100,13,-50,110,9,4
1,125,106,100,37,-26,101,9,4
1,116,91,100,34,-11,100,9,4
1,120,84,100,26,-32,90,9,4
1,102,77,100,23,-17,79,9,4
1,120,75,100,39,-44,78,9,4
1,110,67,100,16,-34,74,9,4
1,111,72,100,26,-41,67,9,4
1,117,82,100,10,-44,73,9,4
0,113,78,100,17,-31,81,9,4
0,111,91,100,12,-32,77,9,4
0,124,100,100,11,-37,91,9,4
0,144,103,100,28,-56,100,9,4
0,147,102,100,36,-57,103,9,4
0,146,103,100,22,-57,102,9,4
0,142,98,100,6,-50,103,9,4
0,111,92,100,44,-14,92,9,4
0,120,85,100,28,-31,91,9,4
0,110,71,100,32,-25,83,9,4
0,111,48,100,31,-38,71,9,4
0,106,54,100,45,-47,48,9,4
0,54,70,100,58,0,26,9,4
0,51,94,100,60,12,37,9,4
0,79,139,100,42,13,71,9,4
0,96,122,100,87,53,95,9,4
0,89,140,100,56,36,88,9,4
0,83,130,100,53,66,80,9,4
0,87,120,100,9,49,86,9,4
0,77,121,100,14,44,76,9,4
0,74,99,100,19,48,73,9,4
0,46,94,100,41,40,45,9,4
0,49,91,100,31,33,46,9,4
0,49,79,100,33,30,45,9,4
0,41,76,100,20,24,33,9,4
0,54,58,100,18,15,43,9,4
0,65,45,100,34,-4,40,9,4
0,101,38,100,68,-43,45,9,4
0,100,52,100,60,-45,39,9,4
0,114,67,100,51,-54,52,9,4
0,115,92,100,24,-45,69,9,4
0,157,114,100,60,-85,85,9,4
0,135,112,100,65,-27,112,9,4
0,129,137,100,46,-21,109,9,4
0,128,117,100,104,12,123,9,4
0,124,124,100,19,-8,111,9,4
1,129,106,100,17,-6,117,9,4
1,118,98,100,34,-14,101,9,4
1,120,84,100,22,-25,96,9,4
1,111,82,100,40,-27,82,9,4
1,127,65,100,39,-49,83,9,4
1,128,72,100,49,-63,65,9,4
1,112,60,100,14,-38,72,9,4
0,104,45,100,25,-37,61,9,4
0,98,34,100,30,-39,46,9,4
0,60,45,100,67,-12,10,9,4
0,55,60,100,54,-5,17,9,4
0,53,66,100,45,4,30,9,4
0,53,74,100,32,8,35,9,4
0,46,90,100,27,17,34,9,4
0,41,90,100,30,33,38,9,4
0,41,84,100,25,33,38,9,4
0,43,72,100,10,27,38,9,4
0,49,78,100,19,14,36,9,4
0,55,70,100,13,16,45,9,4
0,51,61,100,2,12,37,9,4
0,61,40,100,20,0,38,9,4
0,61,30,100,38,-11,18,9,4
0,66,30,100,39,-18,11,9,4
