361,75
365,75
362,75
369,86
365,79
360,87
364,100
360,111
379,110
375,105
401,71
425,92
420,64
433,81
418,90
421,104
417,92
415,85
423,74
441,89
447,93
443,74
428,76
413,79
400,88
392,97
391,92
378,102
383,107
385,100
358,101
390,87
385,80
405,83
401,96
397,99
387,85
376,78
384,80
360,87
356,84
357,91
340,97
348,105
351,111
353,115
354,123
354,128
327,130
328,149
370,156
391,140
374,131
382,128
370,127
369,122
378,114
388,114
389,114
391,104
394,100
396,94
403,92
396,81
397,103
388,102
400,110
404,115
404,120
428,118
423,123
434,116
428,108
417,105
418,98
417,104
425,69
421,81
409,78
406,78
395,83
396,85
408,92
393,67
411,99
398,75
407,89
413,97
412,93
417,82
390,118
376,121
383,122
417,102
413,111
424,96
408,117
400,124
409,111
401,115
408,107
393,112
388,117
378,120
390,136
400,134
387,136
398,130
400,110
403,104
392,114
399,116
399,116
397,116
415,110
430,112
427,112
424,107
423,81
406,91
413,82
410,70
389,79
383,88
378,84
354,99
363,95
362,100
379,91

