Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
128,111,1,86,3,-21,106,0,9,4
130,113,1,85,11,-22,108,0,9,4
128,108,1,86,3,-18,108,0,9,4
124,109,1,86,4,-18,103,0,9,4
125,114,1,85,5,-18,104,0,9,4
133,114,1,85,5,-23,111,0,9,4
131,111,1,85,7,-20,110,0,9,4
128,109,1,85,3,-20,107,0,9,4
132,113,1,85,5,-27,107,0,9,4
129,113,1,87,2,-19,108,0,9,4
131,113,1,85,3,-21,110,0,9,4
134,111,1,86,4,-25,111,0,9,4
135,108,1,86,10,-29,109,0,9,4
131,109,1,86,7,-27,105,0,9,4
129,110,1,86,5,-23,106,0,9,4
131,117,1,86,4,-25,107,0,9,4
131,111,1,86,4,-25,107,0,9,4
126,108,1,87,10,-17,106,0,9,4
128,113,1,86,1,-23,105,0,9,4
125,110,1,85,11,-14,107,0,9,4
127,113,1,86,3,-20,105,0,9,4
127,107,1,85,7,-16,108,0,9,4
133,106,1,85,17,-31,105,0,9,4
131,113,1,85,9,-29,104,0,9,4
131,112,1,85,5,-21,110,0,9,4
129,113,1,85,11,-20,108,0,9,4
125,111,1,85,15,-14,107,0,9,4
128,110,1,87,3,-20,107,0,9,4
120,113,1,86,10,-11,103,0,9,4
131,108,1,85,7,-21,110,0,9,4
129,113,1,84,4,-24,105,0,9,4
121,113,1,85,2,-9,105,0,9,4
135,113,1,85,6,-27,110,0,9,4
125,106,1,85,10,-14,107,0,9,4
135,113,1,85,25,-34,105,0,9,4
130,112,1,85,7,-20,109,0,9,4
133,107,1,86,11,-25,109,0,9,4
135,111,1,85,1,-33,106,0,9,4
129,111,1,85,2,-21,107,0,9,4
126,107,1,85,8,-17,106,0,9,4
126,112,1,85,8,-17,106,0,9,4
129,111,1,85,13,-20,108,0,9,4
133,113,1,85,5,-26,109,0,9,4
131,112,1,84,5,-21,110,0,9,4
131,105,1,84,5,-21,110,0,9,4
131,112,1,84,5,-21,110,0,9,4
131,104,1,84,5,-21,110,0,9,4
125,109,1,87,8,-24,100,0,9,4
146,109,1,86,21,-47,109,0,9,4
121,114,1,84,10,-13,103,0,9,4
130,114,1,82,11,-19,110,0,9,4
123,106,1,84,37,-10,107,0,9,4
119,117,1,84,3,-14,100,0,9,4
137,108,1,85,7,-25,114,0,9,4
98,118,1,83,26,10,89,0,9,4
123,119,1,82,12,-6,109,0,9,4
109,117,1,82,38,11,101,0,9,4
130,115,1,85,34,-16,112,0,9,4
145,112,1,84,33,-39,114,0,9,4
118,121,1,83,17,-6,103,0,9,4
122,110,1,83,15,-1,110,0,9,4
117,108,1,84,34,-7,102,0,9,4
111,114,1,83,6,-3,97,0,9,4
138,111,1,85,29,-30,112,0,9,4
145,115,1,86,37,-43,111,0,9,4
146,111,1,84,40,-40,114,0,9,4
150,112,1,85,20,-50,111,0,9,4
165,110,1,85,30,-73,109,0,9,4
143,106,1,86,4,-41,110,0,9,4
146,107,1,84,5,-50,106,0,9,4
143,107,1,85,5,-45,106,0,9,4
140,108,1,83,10,-40,107,0,9,4
141,107,1,84,4,-41,107,0,9,4
145,108,1,84,2,-47,107,0,9,4
150,110,1,84,14,-54,108,0,9,4
136,107,1,83,16,-31,109,0,9,4
134,111,1,83,22,-32,105,0,9,4
132,109,1,84,4,-25,108,0,9,4
136,111,1,83,2,-33,107,0,9,4
137,111,1,84,4,-32,109,0,9,4
139,109,1,83,10,-35,109,0,9,4
143,111,1,85,9,-42,109,0,9,4
150,110,1,84,18,-50,111,0,9,4
154,112,1,84,23,-58,109,0,9,4
145,109,1,83,3,-42,112,0,9,4
148,109,1,84,2,-50,109,0,9,4
