Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
39,36,0,64,34,-2,34,0,1,0
39,35,0,64,2,-1,32,0,9,4
39,35,0,64,1,-1,32,0,9,6
38,34,0,64,1,-1,34,0,9,6
38,33,0,63,32,0,32,0,1,0
42,35,0,63,1,-3,32,0,9,4
39,35,0,64,2,-1,32,0,9,6
39,36,0,63,1,-1,32,0,9,6
38,36,0,64,3,0,32,0,9,9
38,35,0,63,32,0,32,0,1,0
40,29,0,71,4,-1,31,0,9,6
40,23,0,68,6,-3,34,0,9,6
41,40,0,58,6,-5,36,0,9,9
40,50,0,60,26,2,26,0,1,0
38,45,0,61,1,5,24,0,9,4
39,45,0,61,3,2,27,0,9,6
39,49,0,60,5,2,27,0,9,6
39,49,0,61,1,4,24,0,9,9
37,51,0,61,23,6,23,0,1,0
39,53,0,60,0,5,22,0,9,4
40,50,0,60,2,6,18,0,9,6
40,51,0,61,2,4,22,0,9,6
40,53,0,61,2,5,20,0,9,9
38,48,0,58,21,7,20,0,1,0
39,46,0,61,2,3,26,0,9,4
38,48,0,61,2,3,27,0,9,6
37,50,0,60,0,4,27,0,9,6
37,47,0,61,2,5,25,0,9,9
36,50,0,61,25,6,25,0,1,0
35,48,0,60,1,6,26,0,9,4
37,49,0,61,2,4,27,0,9,8
37,50,0,60,0,5,25,0,9,8
38,51,0,60,0,6,22,0,9,4
39,50,0,61,1,5,22,0,9,8
37,48,0,60,3,5,25,0,9,8
38,48,0,60,29,2,29,0,1,0
38,49,0,61,0,4,25,0,9,4
38,48,0,60,0,4,25,0,9,6
39,50,0,61,1,3,26,0,9,6
38,49,0,61,1,5,24,0,9,9
38,50,0,60,25,4,25,0,1,0
39,50,0,61,2,4,24,0,9,4
39,46,0,61,1,4,24,0,9,6
38,48,0,61,3,3,27,0,9,6
38,50,0,61,1,4,25,0,9,9
39,49,0,61,19,7,18,0,1,0
39,49,0,61,1,4,24,0,9,4
41,50,0,61,2,3,22,0,9,8
39,49,0,61,1,4,24,0,9,6
39,50,0,60,0,4,24,0,9,9
40,48,0,60,26,2,26,0,1,0
38,49,0,59,1,4,25,0,9,4
38,49,0,61,2,4,25,0,9,6
39,48,0,61,1,4,24,0,9,6
39,48,0,61,1,3,26,0,9,9
39,49,0,61,24,4,24,0,1,0
39,48,0,61,2,4,24,0,9,4
39,50,0,61,2,3,26,0,9,6
38,50,0,61,1,5,24,0,9,6
36,49,0,61,2,6,25,0,9,9
38,51,0,61,21,7,20,0,1,0
39,50,0,60,1,4,24,0,9,6
39,49,0,61,4,4,24,0,9,6
38,50,0,61,25,4,25,0,1,0
38,52,0,60,1,4,25,0,9,6
38,50,0,61,2,6,22,0,9,6
39,49,0,61,26,3,26,0,1,0
38,50,0,61,1,5,24,0,9,6
39,50,0,61,1,4,24,0,9,6
38,49,0,61,1,5,24,0,9,9
38,50,0,61,22,6,22,0,1,0
37,49,0,61,1,5,25,0,9,4
37,50,0,61,1,5,25,0,9,8
37,50,0,61,1,5,25,0,9,8
38,48,0,61,27,3,27,0,1,0
38,51,0,61,1,4,25,0,9,4
38,47,0,60,2,5,24,0,9,6
37,48,0,61,1,4,27,0,9,6
39,48,0,61,1,3,26,0,9,9
39,52,0,61,26,3,26,0,1,0
38,49,0,61,1,6,22,0,9,4
38,49,0,61,3,4,25,0,9,8
38,49,0,61,3,4,25,0,9,8
38,48,0,61,3,4,25,0,9,9
38,49,0,60,24,5,24,0,1,0
38,49,0,61,0,4,25,0,9,4
37,49,0,61,1,5,25,0,9,8
37,49,0,61,1,5,25,0,9,8
38,51,0,61,24,5,24,0,1,0
38,50,0,61,1,4,25,0,9,6
37,48,0,61,1,5,25,0,9,6
38,50,0,61,24,5,24,0,1,0
38,47,0,61,1,4,25,0,9,6
38,48,0,61,3,3,27,0,9,6
39,47,0,61,2,3,26,0,9,9
39,51,0,61,26,3,26,0,1,0
38,49,0,60,5,3,27,0,9,6
39,52,0,61,1,4,24,0,9,6
38,50,0,60,2,6,22,0,9,9
