Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
90,3,0,78,1,-40,0,0,9,4
89,3,0,79,2,-39,0,0,9,4
91,3,0,78,1,-41,0,0,9,5
87,3,0,78,3,-37,0,0,9,1
90,2,0,77,1,-40,0,0,9,1
87,1,0,77,4,-37,0,0,9,2
90,1,0,77,3,-40,0,0,9,4
87,2,0,78,3,-37,0,0,9,4
88,6,0,78,1,-38,0,0,9,4
88,4,0,77,2,-38,0,0,9,4
93,19,0,69,6,-43,0,0,9,4
113,38,0,74,28,-62,15,0,9,4
115,59,0,82,43,-58,39,0,9,4
133,91,0,79,61,-71,55,0,9,4
121,103,0,81,80,-31,89,0,9,4
139,98,0,83,65,-43,103,0,9,4
137,94,0,83,50,-45,98,0,9,4
137,72,0,83,50,-45,98,0,9,4
106,61,0,80,20,-30,69,0,9,4
106,79,0,80,20,-30,69,0,9,4
126,79,0,83,24,-48,79,0,9,4
126,74,0,83,24,-48,79,0,9,4
110,66,0,84,28,-33,72,0,9,4
110,75,0,84,28,-33,72,0,9,4
118,79,0,82,12,-41,75,0,9,4
115,77,0,82,14,-34,78,0,9,4
109,79,0,84,5,-29,75,0,9,4
114,81,0,83,8,-33,78,0,9,4
124,71,1,84,10,-44,80,0,9,4
108,74,1,84,7,-33,69,0,9,4
93,79,1,85,21,-15,66,0,9,4
85,80,1,82,42,-4,65,0,9,4
109,83,1,82,10,-27,77,0,9,4
114,63,1,80,21,-30,81,0,9,4
100,82,1,84,26,-30,60,0,9,4
93,76,1,81,18,-9,71,0,9,4
94,75,1,84,20,-15,67,0,9,4
105,95,1,82,11,-27,71,0,9,4
118,82,1,83,25,-24,91,0,9,4
118,83,1,83,25,-24,91,0,9,4
122,60,0,82,28,-39,83,0,9,4
108,78,1,85,17,-40,59,0,9,4
127,77,1,83,29,-50,78,0,9,4
111,73,1,84,11,-31,75,0,9,4
112,85,1,83,12,-36,71,0,9,4
136,79,1,82,9,-56,85,0,9,4
104,89,1,82,9,-22,75,0,9,4
110,60,1,81,20,-20,84,0,9,4
128,79,1,80,25,-63,60,0,9,4
119,110,1,83,17,-39,78,0,9,4
128,94,1,82,22,-21,106,0,9,4
128,96,1,82,22,-21,106,0,9,4
114,74,1,83,54,-18,91,0,9,4
109,78,0,79,9,-32,71,0,9,4
107,68,1,82,31,-26,75,0,9,4
88,71,1,80,32,-15,59,0,9,5
105,77,1,80,3,-29,69,0,9,2
114,78,0,80,9,-35,75,0,9,4
112,72,1,79,24,-32,76,0,9,4
116,77,0,81,12,-41,71,0,9,4
113,85,0,80,1,-34,75,0,9,4
108,83,0,80,10,-22,80,0,9,4
127,81,0,81,13,-46,83,0,9,4
104,82,0,83,13,-21,75,0,9,4
122,53,0,77,18,-40,82,0,9,4
121,83,0,81,33,-59,52,0,9,4
122,57,0,82,19,-39,83,0,9,4
115,69,0,80,25,-49,58,0,9,4
125,79,0,80,17,-54,69,0,9,4
121,74,0,82,5,-42,78,0,9,4
121,81,0,82,5,-42,78,0,9,4
116,76,0,80,26,-34,80,0,9,4
119,85,0,82,14,-41,76,0,9,4
97,64,0,84,32,-10,76,0,9,4
110,75,0,82,18,-40,63,0,9,4
105,71,0,83,14,-27,71,0,9,4
120,83,0,86,36,-46,72,0,9,4
110,81,0,81,21,-26,79,0,9,4
119,76,0,81,14,-38,80,0,9,4
134,100,0,82,14,-60,76,0,9,4
127,70,0,82,19,-30,98,0,9,4
141,86,0,82,38,-74,67,0,9,4
149,91,0,80,15,-74,82,0,9,4
126,102,0,80,9,-37,91,0,9,4
142,87,0,83,43,-48,102,0,9,4
127,84,0,81,32,-42,87,0,9,4
134,90,0,82,18,-54,84,0,9,4
133,91,1,82,12,-47,90,0,9,4
149,114,1,83,27,-69,89,0,9,4
139,96,1,82,36,-31,112,0,9,4
149,105,1,83,17,-64,95,0,9,4
106,106,1,83,68,-1,92,0,9,4
125,108,1,82,14,-21,102,0,9,4
135,102,1,82,34,-32,107,0,9,4
115,104,1,85,13,-14,95,0,9,4
122,101,1,84,3,-20,99,0,9,4
130,101,1,82,7,-33,100,0,9,4
147,84,1,81,43,-57,100,0,9,4
98,49,1,83,25,-12,75,0,9,4
88,62,1,75,56,-26,44,0,9,5
