Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
125,91,1,85,1,-39,87,0,9,4
130,87,1,86,4,-43,90,0,9,4
127,98,1,86,3,-42,87,0,9,4
130,95,1,86,10,-36,97,0,9,4
130,97,1,85,5,-39,94,0,9,4
131,93,1,84,10,-38,97,0,9,4
133,95,1,86,9,-45,93,0,9,4
131,88,1,85,1,-40,95,0,9,4
134,90,1,85,15,-51,88,0,9,4
132,91,1,85,3,-46,90,0,9,4
129,98,1,85,4,-41,91,0,9,4
125,91,1,84,22,-30,96,0,9,4
121,98,1,84,15,-31,89,0,9,4
126,91,1,86,11,-31,96,0,9,4
134,93,1,86,18,-48,91,0,9,4
126,89,1,85,5,-36,92,0,9,4
136,97,1,84,22,-52,89,0,9,4
148,93,1,84,14,-62,96,0,9,4
127,97,1,84,1,-37,92,0,9,4
146,94,1,85,10,-59,97,0,9,4
114,97,1,83,42,-20,89,0,9,4
107,95,1,84,27,-10,88,0,9,4
115,91,1,84,38,-21,90,0,9,4
123,87,1,86,14,-34,89,0,9,4
137,95,1,87,46,-56,86,0,9,4
137,98,1,87,46,-56,86,0,9,4
150,98,1,87,43,-64,97,0,9,4
158,96,1,86,42,-76,95,0,9,4
170,93,1,85,42,-98,83,0,9,4
170,90,1,83,41,-101,78,0,9,4
166,95,1,86,27,-97,77,0,9,4
152,88,0,85,29,-70,93,0,9,4
166,90,0,85,5,-99,73,0,9,4
167,89,0,84,1,-98,77,0,9,4
37,61,0,65,16,14,8,0,1,0
164,88,0,86,28,-94,78,0,9,4
38,54,0,65,0,11,8,0,9,5
103,92,0,86,86,-14,80,0,9,4
39,58,0,65,8,6,20,0,9,2
104,94,0,86,61,-11,84,0,9,4
44,53,0,64,3,7,9,0,9,4
146,95,1,86,51,-62,93,0,9,4
40,57,0,66,11,6,18,0,9,4
119,95,1,86,16,-25,92,0,9,4
43,61,0,67,20,7,0,0,9,4
125,93,1,85,23,-33,93,0,9,4
19,62,0,69,21,16,28,0,9,4
125,106,1,83,28,-34,92,0,9,4
32,64,0,69,8,14,16,0,9,4
122,103,1,85,11,-18,101,0,9,4
40,61,0,68,13,12,12,0,9,4
123,95,1,85,12,-22,99,0,9,4
38,58,0,68,20,11,8,0,9,4
123,109,1,85,4,-30,93,0,9,4
43,63,0,66,17,7,0,0,9,4
127,104,1,86,5,-21,105,0,9,4
43,63,0,66,17,7,0,0,9,4
126,94,1,85,3,-25,101,0,9,4
45,62,0,66,6,9,18,0,9,4
126,106,1,86,5,-35,93,0,9,4
38,62,0,66,8,12,0,0,9,4
128,106,1,86,4,-25,103,0,9,4
38,61,0,66,5,12,0,0,9,4
129,95,1,87,2,-27,103,0,9,4
32,63,0,66,4,13,18,0,9,4
129,96,1,86,3,-38,94,0,9,4
38,58,0,67,0,12,0,0,9,4
119,102,1,86,10,-24,93,0,9,4
32,63,0,66,22,11,22,0,9,4
125,100,1,86,4,-26,99,0,9,4
34,63,0,66,7,14,11,0,9,4
130,106,1,85,6,-34,99,0,9,4
37,62,0,66,1,13,0,0,9,4
129,98,1,86,10,-27,103,0,9,4
37,61,0,66,14,12,8,0,9,4
