Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
32,60,0,60,5,13,18,0,9,4
31,63,0,61,1,13,20,0,9,4
32,61,0,60,4,14,16,0,9,4
32,61,0,61,0,13,18,0,9,4
31,60,0,62,0,13,20,0,9,4
31,61,0,61,4,13,20,0,9,4
32,59,0,61,0,13,18,0,9,4
31,60,0,60,1,12,21,0,9,4
31,61,0,61,0,13,20,0,9,4
31,59,0,60,2,13,20,0,9,4
32,61,0,61,1,12,20,0,9,5
31,69,0,59,0,13,20,0,9,2
32,61,0,58,20,18,0,0,9,4
32,62,0,58,2,13,18,0,9,4
31,62,0,60,2,14,18,0,9,4
30,60,0,59,19,14,19,0,9,4
31,62,0,61,2,13,20,0,9,4
31,61,0,60,0,14,18,0,9,4
30,61,0,58,0,14,19,0,9,4
31,59,0,61,0,13,20,0,9,4
32,59,0,60,2,12,20,0,9,4
32,60,0,62,2,12,20,0,9,4
30,59,0,61,1,13,21,0,9,4
31,61,0,61,1,12,21,0,9,4
31,57,0,61,1,13,20,0,9,4
30,58,0,60,3,11,24,0,9,4
33,59,0,61,1,11,20,0,9,4
32,60,0,61,1,12,20,0,9,4
30,59,0,61,3,13,21,0,9,4
31,56,0,61,1,12,21,0,9,4
31,60,0,61,5,10,25,0,9,4
31,59,0,61,1,13,20,0,9,4
32,59,0,61,1,12,20,0,9,4
31,59,0,61,4,12,21,0,9,4
31,61,0,61,1,12,21,0,9,4
30,59,0,61,2,14,19,0,9,4
31,59,0,61,0,12,21,0,9,4
30,58,0,61,2,12,23,0,9,4
31,61,0,61,2,12,21,0,9,4
31,59,0,60,1,13,20,0,9,4
31,60,0,61,2,12,21,0,9,4
31,56,0,60,1,13,20,0,9,4
32,58,0,61,5,10,24,0,9,4
31,60,0,61,0,12,21,0,9,4
30,61,0,61,1,13,21,0,9,4
32,60,0,61,6,13,18,0,9,4
32,59,0,60,1,12,20,0,9,4
30,61,0,61,2,12,23,0,9,4
31,59,0,61,2,13,20,0,9,4
31,58,0,61,1,12,21,0,9,4
31,60,0,59,2,12,21,0,9,4
31,57,0,61,0,13,20,0,9,5
31,61,0,61,2,11,23,0,9,2
32,60,0,61,3,13,18,0,9,4
30,57,0,61,1,13,21,0,9,4
31,55,0,61,0,11,23,0,9,4
33,59,0,61,7,9,24,0,9,4
32,60,0,60,1,12,20,0,9,4
32,56,0,61,3,12,20,0,9,4
31,58,0,61,1,10,25,0,9,4
32,60,0,61,2,11,22,0,9,4
32,59,0,62,0,12,20,0,9,4
30,59,0,61,2,12,23,0,9,4
31,56,0,61,1,12,21,0,9,4
31,59,0,61,5,10,25,0,9,4
33,58,0,61,3,11,20,0,9,4
31,58,0,62,0,12,21,0,9,4
31,55,0,61,4,12,21,0,9,4
32,59,0,61,4,10,24,0,9,4
32,56,0,61,1,12,20,0,9,4
32,57,0,61,3,10,24,0,9,4
32,60,0,61,2,11,22,0,9,4
31,60,0,62,1,13,20,0,9,4
32,57,0,60,4,12,20,0,9,4
32,53,0,60,0,11,22,0,9,4
