Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
33,64,0,62,2,14,14,0,9,4
131,109,1,83,4,-24,108,0,9,4
29,62,0,63,17,16,17,0,9,4
134,109,1,85,1,-30,107,0,9,4
32,65,0,62,0,14,16,0,9,4
135,109,1,85,10,-31,108,0,9,4
31,64,0,61,2,16,13,0,9,4
135,110,1,85,7,-31,108,0,9,4
32,65,0,63,3,15,14,0,9,4
135,108,1,85,1,-30,108,0,9,4
33,66,0,63,5,15,11,0,9,4
135,110,1,85,1,-32,107,0,9,4
31,67,0,63,0,16,13,0,9,4
136,108,1,85,1,-31,109,0,9,4
32,65,0,62,6,17,8,0,9,4
134,111,1,85,2,-31,106,0,9,4
32,63,0,60,1,16,11,0,9,4
134,113,1,85,2,-31,106,0,9,4
32,64,0,62,3,14,16,0,9,5
135,106,1,84,5,-27,110,0,9,4
31,62,0,63,8,15,16,0,9,2
137,111,1,85,7,-37,105,0,9,4
32,64,0,62,5,14,16,0,9,2
136,110,1,83,3,-30,109,0,9,4
33,63,0,63,5,15,11,0,9,2
136,110,1,87,4,-31,109,0,9,4
30,67,0,60,2,15,18,0,9,2
136,114,1,85,7,-31,109,0,9,4
32,65,0,62,8,17,8,0,9,4
133,111,1,85,7,-23,111,0,9,4
31,64,0,63,2,16,13,0,9,4
134,107,1,86,3,-28,108,0,9,4
33,64,0,63,7,15,11,0,9,4
144,112,1,85,15,-46,107,0,9,4
30,62,0,60,10,15,18,0,9,4
125,105,1,86,9,-15,106,0,9,4
35,65,0,56,3,13,12,0,9,4
125,107,1,86,9,-15,106,0,9,4
32,65,0,68,1,16,11,0,9,4
125,103,1,86,9,-15,106,0,9,4
30,68,0,65,2,16,16,0,9,4
125,109,1,86,9,-15,106,0,9,4
28,61,0,57,6,19,13,0,9,4
135,108,1,85,3,-31,108,0,9,4
31,71,0,53,9,13,20,0,9,4
120,113,1,88,33,-13,102,0,9,4
33,57,0,49,5,19,11,0,9,4
129,105,1,84,4,-19,108,0,9,4
40,68,0,47,11,8,12,0,9,4
141,110,1,84,13,-44,105,0,9,4
43,73,0,47,1,13,21,0,9,4
141,106,1,84,13,-44,105,0,9,4
43,75,0,50,16,17,27,0,9,4
139,109,1,82,27,-40,105,0,9,4
38,68,0,60,16,20,23,0,9,4
125,106,1,84,4,-18,104,0,9,4
35,67,0,68,13,16,8,0,9,4
122,110,1,86,26,-18,101,0,9,4
44,38,0,59,7,12,22,0,9,4
127,107,1,85,20,-20,105,0,9,4
45,72,0,61,22,-2,26,0,9,4
127,112,1,85,20,-20,105,0,9,4
39,69,0,62,14,18,22,0,9,4
127,105,1,85,20,-20,105,0,9,4
38,61,0,57,7,16,16,0,9,4
127,106,1,85,20,-20,105,0,9,4
43,70,0,59,17,9,12,0,9,4
141,109,1,86,25,-43,105,0,9,4
43,67,0,59,3,15,24,0,9,4
141,111,1,86,23,-40,108,0,9,4
43,73,0,62,5,13,21,0,9,4
132,109,1,86,5,-25,108,0,9,4
41,68,0,61,15,18,25,0,9,4
122,107,1,86,28,-15,103,0,9,4
40,65,0,61,5,15,19,0,9,4
137,110,1,87,4,-36,106,0,9,4
43,68,0,60,3,11,18,0,9,4
139,108,1,86,11,-36,109,0,9,4
42,69,0,60,5,14,21,0,9,4
125,111,1,87,4,-19,104,0,9,4
41,65,0,59,2,15,21,0,9,4
122,109,1,87,24,-12,105,0,9,4
41,61,0,59,3,12,15,0,9,4
123,110,1,86,20,-16,103,0,9,4
43,65,0,60,10,9,12,0,9,4
140,113,1,86,18,-37,109,0,9,4
44,69,0,60,4,11,20,0,9,4
140,112,1,86,18,-37,109,0,9,4
40,68,0,61,5,15,19,0,9,4
134,108,1,86,15,-27,109,0,9,4
42,64,0,60,10,14,21,0,9,4
134,109,1,86,15,-27,109,0,9,4
42,68,0,60,5,11,15,0,9,4
137,114,1,86,18,-34,108,0,9,4
39,60,0,60,2,15,17,0,9,4
126,108,1,86,23,-14,108,0,9,4
42,63,0,60,13,9,9,0,9,4
126,110,1,86,7,-21,104,0,9,4
41,64,0,60,3,11,12,0,9,4
123,109,1,86,19,-15,104,0,9,4
43,63,0,60,4,11,18,0,9,5
122,104,1,87,5,-15,103,0,9,4
41,67,0,60,3,11,12,0,9,2
122,106,1,87,5,-15,103,0,9,4
43,66,0,59,9,13,21,0,9,2
141,111,1,86,22,-43,105,0,9,4
40,63,0,59,3,13,15,0,9,2
135,108,1,85,14,-29,109,0,9,4
42,60,0,59,3,11,15,0,9,2
136,110,1,86,19,-34,106,0,9,4
43,62,0,59,13,8,9,0,9,4
136,110,1,86,19,-34,106,0,9,4
39,62,0,60,15,11,0,0,9,4
136,107,1,85,12,-31,109,0,9,4
41,61,0,60,6,10,9,0,9,4
136,108,1,85,6,-35,106,0,9,4
43,65,0,59,3,9,12,0,9,4
138,111,1,86,2,-36,107,0,9,4
41,67,0,60,15,12,15,0,9,4
140,113,1,85,5,-36,110,0,9,4
43,68,0,61,12,13,21,0,9,4
138,111,1,85,6,-31,111,0,9,4
41,65,0,59,8,14,19,0,9,4
141,110,1,85,3,-37,110,0,9,4
43,61,0,59,3,11,18,0,9,4
124,109,1,86,20,-16,104,0,9,4
41,67,0,60,12,10,9,0,9,4
133,110,1,86,5,-29,106,0,9,4
41,62,0,59,0,14,19,0,9,4
136,113,1,84,6,-31,109,0,9,4
45,61,0,60,2,9,18,0,9,4
134,111,1,85,11,-25,111,0,9,4
40,66,0,59,9,10,0,0,9,4
135,109,1,85,3,-29,109,0,9,4
39,65,0,59,4,14,15,0,9,4
140,105,1,86,7,-38,108,0,9,4
43,66,0,60,2,11,18,0,9,4
132,109,1,86,9,-31,104,0,9,4
