Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
32,64,0,64,3,14,16,0,9,4
30,61,0,64,18,15,18,0,9,4
30,66,0,63,5,14,19,0,9,4
32,64,0,64,5,16,11,0,9,4
31,61,0,64,2,15,16,0,9,4
32,65,0,64,1,13,18,0,9,4
32,64,0,64,0,16,11,0,9,4
30,62,0,63,2,15,18,0,9,4
30,63,0,64,1,14,19,0,9,4
28,64,0,64,10,15,21,0,9,4
32,63,0,64,4,15,14,0,9,4
29,62,0,64,1,15,19,0,9,4
31,67,0,64,3,14,18,0,9,4
32,67,0,63,6,17,8,0,9,4
31,62,0,63,8,17,11,0,9,4
31,64,0,63,0,14,18,0,9,4
29,62,0,64,9,16,17,0,9,4
29,65,0,64,8,15,19,0,9,4
28,63,0,63,3,17,17,0,9,4
31,62,0,63,1,15,16,0,9,4
29,63,0,63,0,15,19,0,9,4
28,61,0,64,4,15,21,0,9,4
30,66,0,64,3,14,19,0,9,4
32,62,0,63,8,16,11,0,9,4
32,65,0,64,5,14,16,0,9,4
30,62,0,64,3,16,16,0,9,4
30,61,0,63,8,14,19,0,9,4
30,61,0,63,3,14,19,0,9,4
28,64,0,64,6,14,22,0,9,4
