Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
126,92,1,88,15,-43,85,0,9,4
132,90,1,86,5,-44,92,0,9,4
132,89,1,86,5,-44,92,0,9,4
137,91,1,85,15,-54,89,0,9,4
129,91,1,87,6,-41,91,0,9,4
133,91,1,86,3,-47,90,0,9,4
132,92,1,85,9,-45,91,0,9,4
135,93,1,86,7,-48,92,0,9,4
135,95,1,86,7,-48,92,0,9,4
135,94,1,86,7,-48,92,0,9,4
127,88,1,85,11,-36,93,0,9,4
130,88,1,86,3,-45,88,0,9,4
132,84,1,86,4,-48,88,0,9,4
129,88,1,85,13,-47,85,0,9,4
129,89,1,86,1,-44,88,0,9,4
130,84,1,85,4,-44,89,0,9,4
130,92,1,85,2,-49,84,0,9,4
130,90,1,85,3,-42,91,0,9,4
128,97,1,84,3,-41,90,0,9,4
129,89,1,86,17,-36,96,0,9,4
129,93,1,86,17,-36,96,0,9,4
130,91,1,86,1,-41,92,0,9,4
133,94,1,86,6,-47,90,0,9,4
132,91,1,86,6,-42,94,0,9,4
133,94,1,86,6,-47,90,0,9,4
133,94,1,86,6,-47,90,0,9,4
129,88,1,86,8,-39,93,0,9,4
130,91,1,85,6,-45,88,0,9,4
130,90,1,86,4,-43,90,0,9,4
130,88,1,86,4,-43,90,0,9,4
130,89,1,86,4,-43,90,0,9,4
130,98,1,86,6,-44,89,0,9,4
136,90,1,86,10,-44,98,0,9,4
136,91,1,86,10,-44,98,0,9,4
128,95,1,87,3,-40,91,0,9,4
128,83,1,87,3,-40,91,0,9,4
135,89,1,86,13,-56,83,0,9,4
132,89,1,86,9,-47,89,0,9,4
128,93,1,87,3,-42,88,0,9,4
128,91,1,87,3,-42,88,0,9,4
123,88,1,84,22,-34,89,0,9,4
123,91,1,84,22,-34,89,0,9,4
133,97,1,85,1,-47,90,0,9,4
132,90,1,86,8,-40,96,0,9,4
132,92,1,86,12,-46,90,0,9,4
129,89,1,87,7,-40,92,0,9,4
125,97,1,86,8,-38,88,0,9,4
131,87,1,86,10,-38,97,0,9,4
133,94,1,86,11,-50,87,0,9,4
