Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
37,61,0,62,0,12,8,0,9,4
139,95,1,85,5,-46,100,0,9,4
35,61,0,61,1,12,14,0,9,4
138,94,1,85,16,-50,95,0,9,4
35,61,0,60,1,12,14,0,9,4
135,93,1,85,6,-46,94,0,9,4
36,59,0,61,4,12,12,0,9,4
136,90,1,85,7,-49,93,0,9,4
35,58,0,61,3,11,17,0,9,4
137,93,1,85,5,-53,90,0,9,4
34,59,0,61,5,11,19,0,9,4
139,94,1,84,7,-53,93,0,9,4
35,61,0,61,5,11,17,0,9,4
139,91,1,86,3,-52,94,0,9,4
34,60,0,61,1,12,16,0,9,4
136,96,1,84,2,-51,91,0,9,4
34,60,0,61,3,12,16,0,9,4
133,95,1,85,11,-42,96,0,9,4
36,61,0,61,2,11,15,0,9,4
135,91,1,85,6,-46,94,0,9,4
36,58,0,62,4,12,12,0,9,4
137,91,1,85,1,-52,91,0,9,4
34,61,0,61,3,11,19,0,9,4
137,91,1,85,11,-52,91,0,9,4
35,63,0,60,1,12,14,0,9,4
119,95,1,84,18,-29,88,0,9,4
36,60,0,61,4,13,8,0,9,4
141,96,1,84,4,-54,95,0,9,4
36,59,0,62,4,11,15,0,9,4
116,96,1,84,31,-21,91,0,9,4
35,61,0,60,3,11,17,0,9,4
136,91,1,85,18,-46,96,0,9,4
36,61,0,61,4,12,12,0,9,4
134,92,1,86,7,-48,91,0,9,4
36,61,0,61,3,12,12,0,9,4
133,93,1,84,25,-46,92,0,9,4
35,62,0,61,3,12,14,0,9,4
135,93,1,86,3,-47,93,0,9,4
36,60,0,61,0,12,12,0,9,4
131,93,1,85,6,-42,93,0,9,4
36,59,0,61,3,11,15,0,9,4
133,94,1,84,1,-45,93,0,9,4
35,59,0,62,3,11,17,0,9,4
133,95,1,85,3,-44,94,0,9,4
35,60,0,61,5,11,17,0,9,4
133,91,1,85,2,-43,95,0,9,4
34,60,0,62,1,12,16,0,9,4
136,91,1,85,6,-51,91,0,9,4
33,60,0,61,1,12,18,0,9,4
131,94,1,85,3,-44,91,0,9,4
34,57,0,61,1,12,16,0,9,4
35,60,0,61,3,10,19,0,9,4
129,91,1,85,12,-39,93,0,9,4
35,61,0,62,1,11,17,0,9,4
140,93,1,85,12,-56,91,0,9,4
37,61,0,61,4,11,12,0,9,4
144,94,1,84,11,-60,92,0,9,4
36,61,0,62,7,12,12,0,9,4
129,91,1,85,0,-39,93,0,9,4
37,59,0,62,5,11,12,0,9,4
133,88,1,85,9,-47,90,0,9,4
36,59,0,62,5,10,17,0,9,4
132,94,1,87,12,-48,88,0,9,4
34,59,0,61,7,11,19,0,9,4
130,90,1,84,1,-40,93,0,9,4
33,61,0,61,8,11,20,0,9,4
129,90,1,85,5,-42,90,0,9,4
33,60,0,60,3,13,16,0,9,4
142,89,1,86,12,-60,89,0,9,4
34,61,0,61,3,12,16,0,9,4
132,91,1,86,8,-47,89,0,9,4
34,61,0,61,4,12,16,0,9,4
132,98,1,85,3,-45,91,0,9,4
34,59,0,61,1,12,16,0,9,4
136,94,1,88,18,-44,98,0,9,4
35,60,0,61,1,11,17,0,9,4
134,96,1,86,5,-45,94,0,9,4
36,60,0,61,1,11,15,0,9,5
136,91,1,85,5,-46,96,0,9,4
35,57,0,62,1,11,17,0,9,2
127,94,1,85,9,-39,90,0,9,4
33,57,0,61,5,10,22,0,9,4
133,92,1,85,1,-44,94,0,9,4
35,61,0,60,4,10,19,0,9,4
133,92,1,84,4,-46,92,0,9,4
36,61,0,61,5,12,12,0,9,4
132,91,1,85,5,-44,92,0,9,4
36,60,0,61,10,12,12,0,9,4
131,95,1,85,3,-44,91,0,9,4
35,60,0,61,2,11,17,0,9,4
126,93,1,85,12,-34,93,0,9,4
31,60,0,61,8,13,20,0,9,4
132,91,1,85,1,-43,93,0,9,4
35,59,0,60,5,11,17,0,9,4
131,89,1,86,0,-44,91,0,9,4
35,60,0,61,0,11,17,0,9,4
128,89,1,84,9,-42,88,0,9,4
