Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
30,65,0,61,0,17,13,0,9,4
32,65,0,61,5,16,11,0,9,4
30,63,0,61,2,16,16,0,9,4
31,66,0,60,3,15,16,0,9,4
31,62,0,61,2,16,13,0,9,4
31,63,0,60,2,14,18,0,9,4
31,64,0,59,0,15,16,0,9,4
31,63,0,61,3,15,16,0,9,4
30,63,0,61,1,15,18,0,9,4
32,65,0,61,1,14,16,0,9,4
32,65,0,60,5,16,11,0,9,4
31,67,0,60,5,16,13,0,9,4
33,68,0,61,16,17,0,0,9,4
31,64,0,61,4,18,7,0,9,4
30,65,0,60,5,15,18,0,9,4
32,66,0,59,11,16,11,0,9,4
34,66,0,61,7,16,0,0,9,4
30,66,0,62,5,17,13,0,9,4
33,68,0,60,3,16,8,0,9,4
30,63,0,59,11,18,11,0,9,4
32,67,0,60,4,14,16,0,9,4
33,63,0,61,8,17,0,0,9,4
32,66,0,61,6,14,16,0,9,4
33,63,0,61,8,16,8,0,9,4
34,63,0,62,11,14,11,0,9,4
34,63,0,61,5,14,11,0,9,4
33,62,0,60,6,14,14,0,9,4
