Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
0,29,0,0,0,0,0,0,0,0
37,32,0,63,36,-2,36,0,1,0
35,31,0,63,1,-1,37,0,9,4
38,30,0,62,1,-2,35,0,9,6
38,32,0,62,1,-2,35,0,9,6
37,35,0,63,2,-1,35,0,9,9
0,30,0,0,0,0,0,0,0,0
36,31,0,63,36,-1,36,0,1,0
35,31,0,63,2,-1,37,0,9,4
38,30,0,62,2,-2,35,0,9,6
38,32,0,63,2,-2,35,0,9,6
38,32,0,62,2,-2,35,0,9,9
0,38,0,0,0,0,0,0,0,0
38,30,0,62,32,0,32,0,1,0
37,30,0,62,3,-1,35,0,9,6
36,30,0,61,1,-1,36,0,9,6
37,34,0,63,1,-2,36,0,9,9
0,32,0,0,0,0,0,0,0,0
35,34,0,62,37,-1,37,0,1,0
37,32,0,63,1,-1,35,0,9,6
38,30,0,62,1,-2,35,0,9,6
0,31,0,0,0,0,0,0,0,0
35,31,0,63,37,-1,37,0,1,0
37,30,0,62,1,-1,35,0,9,6
36,33,0,63,1,-1,36,0,9,6
0,32,0,0,0,0,0,0,0,0
37,33,0,62,35,-1,35,0,1,0
38,30,0,63,0,-1,34,0,9,8
36,30,0,62,2,-1,36,0,9,8
0,36,0,0,0,0,0,0,0,0
38,32,0,62,32,0,32,0,1,0
37,29,0,63,1,-2,36,0,9,6
37,32,0,63,1,-2,36,0,9,6
37,32,0,63,1,-1,35,0,9,9
0,31,0,0,0,0,0,0,0,0
37,35,0,62,36,-2,36,0,1,0
36,33,0,61,3,0,34,0,9,4
38,32,0,62,1,-1,34,0,9,6
36,33,0,62,3,-1,36,0,9,6
37,33,0,62,1,-1,35,0,9,9
0,38,0,0,0,0,0,0,0,0
36,31,0,63,34,0,34,0,1,0
33,32,0,63,1,0,37,0,9,4
34,34,0,63,0,0,36,0,9,6
34,33,0,63,1,0,36,0,9,6
36,34,0,63,1,-1,36,0,9,9
0,35,0,0,0,0,0,0,0,0
38,38,0,63,34,-1,34,0,1,0
36,31,0,64,1,0,34,0,9,4
35,30,0,64,3,-1,37,0,9,6
36,33,0,62,2,-1,36,0,9,6
35,32,0,61,1,0,35,0,9,9
0,33,0,0,0,0,0,0,0,0
36,30,0,63,36,-1,36,0,1,0
35,33,0,63,1,-1,37,0,9,6
33,32,0,62,1,0,37,0,9,6
0,33,0,0,0,0,0,0,0,0
33,32,0,62,37,0,37,0,1,0
35,34,0,62,1,0,35,0,9,6
35,35,0,62,1,0,35,0,9,6
37,35,0,63,4,0,33,0,9,9
0,32,0,0,0,0,0,0,0,0
34,32,0,62,36,0,36,0,1,0
38,32,0,62,2,-2,35,0,9,4
36,30,0,63,1,-1,36,0,9,6
38,34,0,62,2,-2,35,0,9,6
34,34,0,62,2,0,36,0,9,9
0,31,0,0,0,0,0,0,0,0
40,30,0,62,34,-3,34,0,1,0
35,32,0,62,1,-1,37,0,9,4
37,31,0,62,1,-1,35,0,9,6
38,33,0,62,1,-2,35,0,9,6
0,34,0,0,0,0,0,0,0,0
37,34,0,63,35,-1,35,0,1,0
37,34,0,63,1,-1,35,0,9,6
36,33,0,63,1,0,34,0,9,6
0,31,0,0,0,0,0,0,0,0
34,30,0,63,36,0,36,0,1,0
38,30,0,63,2,-2,35,0,9,4
38,30,0,63,0,-2,35,0,9,8
37,31,0,62,0,-2,36,0,9,8
0,34,0,0,0,0,0,0,0,0
38,32,0,62,34,-1,34,0,1,0
37,32,0,63,1,-1,35,0,9,4
34,35,0,62,2,0,36,0,9,6
37,35,0,63,2,0,33,0,9,6
37,34,0,63,2,0,33,0,9,9
0,33,0,0,0,0,0,0,0,0
37,32,0,62,35,-1,35,0,1,0
35,33,0,63,1,-1,37,0,9,4
37,34,0,63,0,-1,35,0,9,8
37,33,0,63,2,-1,35,0,9,8
0,39,0,0,0,0,0,0,0,0
37,36,0,63,33,0,33,0,1,0
35,32,0,63,2,0,35,0,9,4
36,35,0,63,1,-1,36,0,9,6
39,32,0,63,5,-1,32,0,9,6
0,31,0,0,0,0,0,0,0,0
38,33,0,63,35,-2,35,0,1,0
36,32,0,62,1,-1,36,0,9,4
37,33,0,62,1,-1,35,0,9,6
36,30,0,62,1,-1,36,0,9,6
0,37,0,0,0,0,0,0,0,0
38,34,0,62,32,0,32,0,1,0
38,34,0,63,1,-1,34,0,9,4
35,31,0,62,0,0,35,0,9,6
37,34,0,63,1,-2,36,0,9,6
38,33,0,63,0,-1,34,0,9,9
0,29,0,0,0,0,0,0,0,0
36,34,0,63,37,-2,37,0,1,0
37,32,0,62,1,-1,35,0,9,4
35,32,0,63,2,-1,37,0,9,6
38,33,0,62,2,-2,35,0,9,6
38,31,0,61,1,-1,34,0,9,9
0,32,0,0,0,0,0,0,0,0
37,33,0,63,35,-1,35,0,1,0
36,30,0,63,1,-1,36,0,9,4
37,31,0,62,2,-2,36,0,9,8
34,33,0,63,1,0,36,0,9,8
0,34,0,0,0,0,0,0,0,0
35,33,0,62,35,0,35,0,1,0
37,36,0,63,1,-1,35,0,9,4
38,36,0,63,4,0,32,0,9,6
38,31,0,64,2,0,32,0,9,6
38,34,0,63,1,-2,35,0,9,9
0,35,0,0,0,0,0,0,0,0
38,37,0,63,34,-1,34,0,1,0
36,30,0,63,1,0,34,0,9,6
36,32,0,64,4,-1,36,0,9,6
36,32,0,63,4,-1,36,0,9,9
0,36,0,0,0,0,0,0,0,0
37,31,0,64,33,0,33,0,1,0
35,32,0,63,2,0,35,0,9,6
34,34,0,64,1,0,36,0,9,6
36,32,0,63,3,0,34,0,9,9
0,33,0,0,0,0,0,0,0,0
34,32,0,63,36,0,36,0,1,0
37,31,0,63,2,-1,35,0,9,8
37,30,0,63,1,-2,36,0,9,8
0,34,0,0,0,0,0,0,0,0
38,37,0,63,34,-1,34,0,1,0
38,34,0,62,0,0,32,0,9,4
37,33,0,63,2,-1,35,0,9,8
36,34,0,62,2,-1,36,0,9,8
0,38,0,0,0,0,0,0,0,0
38,33,0,62,32,0,32,0,1,0
36,30,0,62,2,-1,36,0,9,4
36,31,0,63,0,-1,36,0,9,8
37,33,0,62,2,-2,36,0,9,8
0,33,0,0,0,0,0,0,0,0
35,34,0,61,35,0,35,0,1,0
33,31,0,64,3,0,37,0,9,4
32,32,0,64,4,0,38,0,9,6
35,33,0,64,3,-1,37,0,9,6
0,28,0,0,0,0,0,0,0,0
33,32,0,63,38,-1,38,0,1,0
37,32,0,63,1,-1,35,0,9,4
34,34,0,63,1,0,36,0,9,6
33,32,0,63,1,0,37,0,9,6
