Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
114,53,0,70,4,-56,41,0,9,4
110,39,0,70,6,-46,53,0,9,4
111,39,0,70,13,-54,38,0,9,4
116,38,0,70,3,-59,39,0,9,4
110,50,0,70,16,-53,38,0,9,4
110,48,0,69,12,-48,49,0,9,4
114,59,0,70,10,-53,48,0,9,4
110,48,0,70,22,-43,58,0,9,4
109,48,0,69,1,-47,49,0,9,4
116,49,0,70,2,-55,49,0,9,4
107,41,0,69,9,-45,49,0,9,4
109,49,0,70,9,-51,40,0,9,4
106,48,0,70,11,-44,48,0,9,4
113,49,0,69,7,-52,48,0,9,4
106,37,0,70,10,-44,48,0,9,4
113,39,0,69,17,-57,36,0,9,4
107,38,0,70,8,-49,40,0,9,4
112,39,0,69,14,-55,38,0,9,4
121,54,0,69,8,-65,37,0,9,4
119,42,0,69,15,-56,54,0,9,4
117,38,0,70,5,-59,42,0,9,4
115,51,0,70,7,-58,39,0,9,4
113,52,0,70,6,-50,52,0,9,4
113,41,0,70,13,-50,52,0,9,4
105,51,0,70,12,-46,42,0,9,4
114,39,0,70,1,-51,52,0,9,4
103,42,0,69,13,-45,39,0,9,4
112,41,0,70,7,-53,43,0,9,4
110,40,0,69,11,-52,41,0,9,4
116,50,0,70,14,-59,39,0,9,4
115,42,0,69,8,-53,51,0,9,4
103,45,0,69,8,-44,42,0,9,4
111,51,0,69,10,-51,46,0,9,4
112,45,0,70,4,-49,52,0,9,4
114,38,0,70,10,-54,46,0,9,4
114,41,0,70,9,-57,39,0,9,4
119,40,0,70,17,-62,40,0,9,4
108,42,0,70,7,-50,40,0,9,4
108,41,0,70,8,-49,43,0,9,4
115,40,0,70,5,-57,42,0,9,4
108,51,0,70,0,-50,40,0,9,4
114,41,0,70,9,-51,52,0,9,4
119,48,0,70,5,-62,40,0,9,4
108,40,0,70,9,-46,49,0,9,4
107,53,0,69,12,-49,40,0,9,4
112,46,0,69,19,-48,54,0,9,4
112,51,0,69,6,-52,46,0,9,4
109,47,0,66,11,-46,51,0,9,4
108,48,0,68,7,-47,47,0,9,4
109,44,0,71,5,-47,49,0,9,4
108,52,0,72,6,-48,45,0,9,4
107,49,0,75,6,-43,52,0,9,4
108,52,0,75,1,-46,49,0,9,4
108,42,0,74,8,-44,53,0,9,4
106,53,0,72,10,-47,42,0,9,4
109,49,0,72,4,-45,53,0,9,4
105,52,0,69,5,-43,48,0,9,4
106,48,0,68,11,-42,52,0,9,4
114,51,0,70,9,-53,48,0,9,4
112,36,0,68,7,-49,52,0,9,4
109,49,0,68,17,-52,38,0,9,4
114,39,0,68,2,-52,50,0,9,4
111,44,0,68,14,-54,38,0,9,4
109,52,0,69,7,-49,45,0,9,4
109,53,0,69,7,-45,53,0,9,4
110,50,0,69,17,-46,53,0,9,4
106,51,0,69,7,-43,50,0,9,4
112,41,0,68,4,-49,52,0,9,4
106,51,0,69,11,-47,42,0,9,4
110,51,0,68,4,-47,51,0,9,4
106,55,0,68,6,-43,50,0,9,4
110,51,0,68,13,-45,55,0,9,4
111,54,0,69,1,-48,52,0,9,4
108,51,0,68,4,-43,54,0,9,4
109,40,0,68,4,-46,51,0,9,4
109,52,0,69,12,-51,40,0,9,4
111,41,0,68,5,-48,52,0,9,4
108,54,0,68,8,-49,43,0,9,4
110,51,0,68,16,-45,55,0,9,4
112,53,0,68,1,-49,52,0,9,4
109,39,0,68,10,-45,53,0,9,4
105,52,0,68,15,-47,40,0,9,4
113,41,0,69,1,-50,52,0,9,4
107,53,0,68,11,-48,42,0,9,4
109,53,0,68,13,-45,53,0,9,4
111,40,0,68,3,-47,53,0,9,4
105,38,0,69,2,-47,40,0,9,4
105,51,0,69,2,-47,40,0,9,4
106,50,0,68,3,-43,50,0,9,4
113,50,0,68,5,-51,50,0,9,4
114,52,0,68,11,-52,50,0,9,4
109,47,0,68,3,-45,53,0,9,4
108,53,0,68,5,-47,47,0,9,4
107,55,0,68,9,-43,52,0,9,4
107,54,0,69,3,-42,54,0,9,4
107,53,0,69,8,-42,54,0,9,4
106,52,0,68,1,-42,52,0,9,4
110,47,0,68,4,-46,53,0,9,4
107,50,0,67,8,-46,47,0,9,4
102,51,0,68,4,-39,49,0,9,4
107,53,0,68,2,-44,51,0,9,4
109,53,0,68,6,-45,53,0,9,4
105,41,0,68,3,-41,52,0,9,4
111,40,0,68,13,-53,41,0,9,4
110,55,0,68,13,-52,41,0,9,4
105,50,0,69,2,-40,54,0,9,4
108,51,0,69,12,-45,51,0,9,4
108,47,0,68,12,-45,51,0,9,4
108,51,0,68,9,-47,47,0,9,4
112,41,0,68,4,-49,52,0,9,4
108,51,0,68,8,-49,43,0,9,4
111,51,0,69,5,-48,52,0,9,4
111,53,0,68,1,-48,52,0,9,4
106,49,0,68,11,-42,52,0,9,4
106,52,0,68,5,-44,48,0,9,4
106,54,0,68,6,-42,52,0,9,4
112,52,0,69,6,-48,54,0,9,4
100,52,0,68,8,-36,51,0,9,4
87,50,0,67,19,-24,45,0,9,4
113,47,0,68,5,-51,50,0,9,4
111,55,0,68,14,-50,48,0,9,4
112,41,0,69,25,-47,55,0,9,4
113,51,0,69,9,-55,41,0,9,4
110,44,0,68,4,-47,51,0,9,4
113,54,0,68,13,-54,44,0,9,4
107,51,0,68,18,-42,54,0,9,4
109,54,0,69,1,-46,51,0,9,4
114,54,0,69,10,-50,54,0,9,4
111,51,0,69,5,-47,53,0,9,4
107,41,0,69,2,-44,51,0,9,4
110,52,0,68,13,-52,41,0,9,4
109,50,0,69,2,-45,53,0,9,4
112,47,0,68,6,-50,50,0,9,4
109,50,0,69,7,-48,47,0,9,4
108,51,0,69,2,-45,51,0,9,4
110,49,0,69,3,-47,51,0,9,4
107,53,0,69,3,-45,49,0,9,4
110,52,0,68,2,-46,53,0,9,4
110,55,0,68,2,-46,53,0,9,4
109,42,0,68,6,-44,55,0,9,4
112,41,0,68,12,-53,43,0,9,4
109,52,0,68,13,-51,40,0,9,4
108,52,0,68,2,-44,53,0,9,4
106,55,0,69,14,-42,52,0,9,4
111,51,0,68,15,-46,55,0,9,4
110,53,0,68,3,-47,51,0,9,4
115,50,0,68,10,-52,53,0,9,4
110,49,0,68,6,-48,49,0,9,4
111,46,0,68,2,-49,50,0,9,4
115,38,0,69,7,-55,46,0,9,4
109,52,0,69,11,-52,38,0,9,4
107,51,0,69,6,-43,52,0,9,4
107,52,0,68,12,-44,51,0,9,4
95,39,0,68,23,-31,49,0,9,4
109,53,0,68,14,-51,40,0,9,4
109,50,0,68,2,-45,53,0,9,4
109,41,0,68,15,-46,51,0,9,4
110,54,0,67,1,-52,41,0,9,4
114,41,0,69,5,-50,54,0,9,4
113,56,0,68,13,-55,41,0,9,4
113,53,0,68,13,-55,41,0,9,4
119,42,0,68,13,-56,54,0,9,4
107,50,0,68,12,-48,42,0,9,4
112,52,0,68,10,-50,50,0,9,4
107,53,0,68,13,-43,52,0,9,4
111,38,0,69,11,-47,53,0,9,4
107,41,0,68,12,-50,38,0,9,4
105,49,0,68,10,-46,42,0,9,4
118,49,0,67,10,-57,49,0,9,4
112,54,0,68,12,-50,50,0,9,4
109,42,0,67,13,-44,55,0,9,4
109,42,0,68,9,-50,43,0,9,4
113,50,0,68,10,-55,41,0,9,4
106,40,0,68,5,-43,50,0,9,4
111,53,0,68,3,-53,41,0,9,4
107,38,0,67,16,-43,52,0,9,4
112,40,0,68,16,-55,38,0,9,4
106,50,0,69,5,-48,40,0,9,4
107,55,0,68,1,-44,51,0,9,4
110,39,0,69,19,-45,55,0,9,4
107,40,0,69,1,-49,40,0,9,4
106,52,0,68,11,-48,40,0,9,4
110,51,0,68,2,-46,53,0,9,4
106,52,0,68,11,-43,50,0,9,4
115,51,0,68,13,-52,53,0,9,4
106,50,0,68,4,-43,50,0,9,4
113,50,0,67,8,-51,50,0,9,4
101,41,0,69,14,-38,49,0,9,4
109,40,0,69,12,-51,40,0,9,4
110,53,0,68,9,-52,41,0,9,4
107,53,0,68,5,-43,52,0,9,4
111,51,0,68,13,-47,53,0,9,4
114,42,0,69,11,-51,52,0,9,4
108,51,0,69,10,-49,43,0,9,4
105,52,0,69,5,-42,50,0,9,4
110,54,0,68,5,-46,53,0,9,4
111,54,0,69,10,-47,53,0,9,4
110,50,0,68,5,-45,55,0,9,4
110,40,0,68,4,-48,49,0,9,4
111,53,0,69,13,-53,41,0,9,4
111,54,0,69,2,-47,53,0,9,4
106,53,0,68,8,-41,54,0,9,4
101,41,0,69,20,-36,52,0,9,4
111,41,0,68,13,-53,41,0,9,4
105,53,0,68,13,-46,42,0,9,4
108,41,0,68,8,-44,53,0,9,4
106,53,0,68,6,-47,42,0,9,4
102,53,0,69,14,-37,53,0,9,4
106,41,0,68,2,-42,52,0,9,4
106,52,0,69,0,-47,42,0,9,4
108,36,0,68,7,-44,53,0,9,4
114,53,0,68,22,-58,36,0,9,4
107,53,0,69,10,-43,52,0,9,4
110,54,0,68,2,-46,53,0,9,4
108,54,0,69,23,-43,54,0,9,4
110,57,0,68,3,-45,55,0,9,4
108,55,0,69,5,-42,56,0,9,4
106,56,0,69,2,-41,54,0,9,4
114,41,0,68,4,-49,56,0,9,4
109,54,0,68,18,-51,40,0,9,4
110,50,0,68,4,-45,55,0,9,4
111,50,0,69,6,-49,50,0,9,4
105,49,0,68,13,-42,50,0,9,4
109,53,0,69,6,-47,49,0,9,4
108,40,0,68,5,-44,53,0,9,4
106,51,0,68,11,-48,40,0,9,4
112,47,0,68,3,-49,52,0,9,4
109,53,0,68,7,-48,47,0,9,4
111,49,0,68,13,-47,53,0,9,4
110,53,0,68,3,-48,49,0,9,4
107,51,0,68,7,-43,52,0,9,4
111,53,0,69,1,-48,52,0,9,4
111,43,0,69,1,-48,52,0,9,4
107,49,0,68,7,-48,42,0,9,4
111,51,0,68,6,-49,50,0,9,4
95,51,0,68,16,-32,47,0,9,4
112,43,0,69,2,-49,52,0,9,4
114,53,0,69,10,-55,44,0,9,4
111,50,0,68,16,-47,53,0,9,4
107,44,0,68,5,-44,51,0,9,4
114,53,0,69,0,-55,44,0,9,4
113,53,0,68,2,-49,54,0,9,4
110,50,0,68,2,-46,53,0,9,4
110,48,0,68,8,-48,49,0,9,4
114,52,0,68,7,-53,48,0,9,4
111,51,0,69,2,-48,52,0,9,4
114,49,0,68,4,-51,52,0,9,4
112,43,0,68,3,-50,50,0,9,4
104,55,0,68,8,-44,44,0,9,4
102,53,0,69,15,-36,54,0,9,4
113,53,0,68,4,-49,54,0,9,4
113,38,0,68,11,-49,54,0,9,4
109,40,0,69,22,-52,38,0,9,4
108,53,0,68,14,-50,40,0,9,4
108,50,0,68,5,-44,53,0,9,4
108,42,0,68,14,-45,51,0,9,4
104,53,0,69,5,-45,42,0,9,4
107,39,0,69,1,-43,52,0,9,4
108,51,0,69,12,-50,40,0,9,4
107,42,0,69,9,-44,51,0,9,4
109,56,0,69,11,-50,43,0,9,4
108,48,0,68,17,-42,56,0,9,4
113,41,0,69,8,-52,48,0,9,4
108,40,0,69,1,-49,43,0,9,4
111,39,0,68,18,-53,41,0,9,4
108,41,0,69,8,-50,40,0,9,4
109,48,0,68,3,-51,40,0,9,4
106,41,0,69,11,-44,48,0,9,4
108,35,0,69,3,-49,43,0,9,4
102,53,0,69,6,-45,37,0,9,4
105,47,0,69,5,-41,52,0,9,4
114,39,0,69,6,-53,48,0,9,4
111,51,0,69,9,-54,38,0,9,4
109,54,0,69,5,-46,51,0,9,4
113,45,0,69,7,-49,54,0,9,4
106,38,0,69,10,-46,44,0,9,4
110,53,0,69,14,-53,38,0,9,4
114,41,0,69,1,-50,54,0,9,4
111,49,0,68,7,-53,41,0,9,4
105,42,0,68,14,-43,48,0,9,4
107,53,0,69,12,-48,42,0,9,4
102,50,0,69,20,-37,53,0,9,4
104,45,0,69,2,-41,50,0,9,4
112,43,0,68,5,-52,46,0,9,4
106,51,0,69,12,-46,44,0,9,4
108,47,0,69,4,-45,51,0,9,4
108,54,0,69,5,-47,47,0,9,4
108,51,0,69,10,-43,54,0,9,4
108,51,0,69,0,-45,51,0,9,4
108,40,0,68,4,-45,51,0,9,4
104,47,0,68,14,-46,40,0,9,4
106,46,0,69,4,-45,47,0,9,4
100,49,0,69,8,-39,45,0,9,4
112,42,0,68,10,-50,50,0,9,4
109,52,0,68,6,-50,43,0,9,4
107,41,0,69,8,-43,52,0,9,4
104,41,0,69,9,-45,42,0,9,4
104,52,0,69,5,-45,42,0,9,4
111,52,0,68,5,-48,52,0,9,4
110,42,0,69,11,-46,53,0,9,4
107,58,0,69,3,-48,42,0,9,4
107,51,0,69,9,-40,57,0,9,4
98,54,0,69,12,-35,48,0,9,4
110,52,0,69,13,-45,55,0,9,4
106,30,0,68,5,-42,52,0,9,4
106,53,0,68,22,-51,32,0,9,4
105,43,0,68,5,-41,52,0,9,4
104,39,0,69,8,-44,44,0,9,4
103,46,0,69,9,-45,39,0,9,4
111,29,0,68,11,-51,46,0,9,4
108,57,0,69,18,-54,29,0,9,4
99,51,0,70,20,-32,55,0,9,4
