Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
31,76,0,64,3,20,7,0,9,4
28,72,0,64,10,24,10,0,9,4
29,73,0,66,1,21,0,0,9,4
28,73,0,65,7,22,0,0,9,4
29,75,0,64,3,22,7,0,9,4
29,72,0,65,10,23,10,0,9,4
27,73,0,64,7,22,7,0,9,4
29,76,0,65,0,22,7,0,9,4
28,71,0,64,1,24,10,0,9,4
32,74,0,64,4,20,11,0,9,4
30,75,0,62,3,22,10,0,9,4
33,73,0,67,7,22,17,0,9,4
32,75,0,64,2,21,13,0,9,4
30,73,0,64,3,23,13,0,9,4
29,74,0,63,10,22,7,0,9,4
31,71,0,63,1,22,13,0,9,4
29,70,0,64,13,21,0,0,9,4
31,72,0,64,7,19,0,0,9,4
31,74,0,64,3,21,10,0,9,4
28,74,0,63,7,23,7,0,9,4
27,73,0,64,4,23,0,0,9,4
27,67,0,63,10,23,0,0,9,5
