Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
29,55,0,66,2,10,27,0,9,4
29,57,0,66,1,10,27,0,9,4
32,56,0,65,5,11,22,0,9,4
31,56,0,65,2,10,25,0,9,4
29,54,0,66,1,11,26,0,9,4
29,54,0,66,5,10,27,0,9,4
24,56,0,68,3,12,29,0,9,4
26,53,0,67,2,12,27,0,9,4
29,53,0,67,1,9,28,0,9,4
27,53,0,68,2,10,29,0,9,4
31,57,0,66,3,9,26,0,9,4
29,55,0,67,5,12,24,0,9,4
30,54,0,66,3,10,26,0,9,4
32,55,0,65,1,9,25,0,9,4
30,55,0,67,0,10,26,0,9,4
28,57,0,67,2,11,27,0,9,4
28,56,0,68,2,12,25,0,9,4
28,55,0,68,1,11,27,0,9,4
24,55,0,68,2,12,29,0,9,4
26,56,0,67,4,11,29,0,9,4
31,54,0,65,2,10,25,0,9,4
29,53,0,66,2,10,27,0,9,4
26,51,0,68,6,9,31,0,9,4
30,54,0,67,2,8,29,0,9,4
30,55,0,67,5,10,26,0,9,4
26,54,0,67,2,11,29,0,9,4
31,55,0,67,3,9,26,0,9,4
30,53,0,67,0,10,26,0,9,4
27,53,0,67,1,10,29,0,9,4
28,53,0,66,2,10,28,0,9,4
31,51,0,67,2,8,28,0,9,4
31,49,0,67,2,8,28,0,9,4
30,49,0,67,2,7,30,0,9,4
28,50,0,67,3,8,31,0,9,4
28,50,0,66,3,8,31,0,9,4
28,50,0,67,1,8,31,0,9,4
31,53,0,67,2,7,29,0,9,4
26,53,0,67,2,10,30,0,9,4
26,51,0,67,2,10,30,0,9,4
28,53,0,68,2,9,29,0,9,4
27,52,0,67,1,10,29,0,9,4
27,53,0,67,1,9,30,0,9,4
27,53,0,67,1,10,29,0,9,4
31,53,0,66,3,9,26,0,9,4
30,51,0,67,3,9,27,0,9,4
28,50,0,68,1,9,29,0,9,4
28,52,0,67,5,8,31,0,9,4
26,52,0,67,3,10,30,0,9,4
25,52,0,69,2,10,31,0,9,4
30,54,0,67,4,9,27,0,9,4
30,54,0,68,4,10,26,0,9,4
30,53,0,68,5,10,26,0,9,4
27,53,0,67,2,10,29,0,9,4
25,50,0,68,5,10,31,0,9,4
27,51,0,68,6,8,32,0,9,4
27,52,0,68,1,9,30,0,9,4
27,50,0,68,1,9,30,0,9,4
30,52,0,68,3,8,29,0,9,4
31,52,0,67,2,8,28,0,9,4
27,53,0,67,0,9,30,0,9,4
31,53,0,66,3,9,26,0,9,4
31,52,0,66,2,9,26,0,9,4
30,53,0,67,3,9,27,0,9,4
28,52,0,67,2,10,28,0,9,4
32,52,0,68,1,8,27,0,9,4
29,52,0,67,1,9,28,0,9,4
32,53,0,67,2,8,27,0,9,4
27,53,0,66,2,10,29,0,9,4
28,53,0,67,1,10,28,0,9,4
29,50,0,68,1,9,28,0,9,4
27,52,0,68,3,8,32,0,9,4
28,51,0,67,1,9,29,0,9,4
30,53,0,68,3,8,29,0,9,4
29,52,0,68,1,9,28,0,9,4
26,53,0,68,2,10,30,0,9,4
26,53,0,67,2,10,30,0,9,4
32,53,0,67,1,8,27,0,9,4
30,53,0,67,3,9,27,0,9,4
27,51,0,66,1,10,29,0,9,4
28,51,0,66,2,9,29,0,9,4
30,52,0,67,2,8,29,0,9,4
29,51,0,67,1,9,28,0,9,4
27,51,0,68,1,9,30,0,9,4
25,50,0,68,3,9,32,0,9,4
