Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
35,48,0,71,2,5,28,0,9,4
36,46,0,70,3,5,27,0,9,4
36,46,0,70,2,4,28,0,9,4
37,46,0,71,2,3,28,0,9,4
39,46,0,70,3,2,27,0,9,4
36,46,0,70,0,4,28,0,9,4
37,45,0,71,0,3,28,0,9,4
36,47,0,70,3,3,30,0,9,4
35,47,0,71,1,4,29,0,9,4
35,47,0,71,1,4,29,0,9,4
39,48,0,71,4,3,26,0,9,4
35,48,0,72,1,5,28,0,9,4
35,47,0,71,1,5,28,0,9,4
36,48,0,71,1,5,27,0,9,4
36,47,0,71,1,5,27,0,9,4
38,48,0,71,0,3,27,0,9,4
36,46,0,72,0,5,27,0,9,4
36,47,0,72,1,4,28,0,9,4
38,46,0,71,0,3,27,0,9,4
38,45,0,72,2,3,27,0,9,4
40,48,0,71,2,2,26,0,9,4
38,49,0,71,2,4,25,0,9,4
39,48,0,71,2,4,24,0,9,4
36,46,0,71,3,5,27,0,9,4
38,48,0,70,2,3,27,0,9,4
37,47,0,71,3,4,27,0,9,4
41,46,0,70,4,2,24,0,9,4
36,47,0,70,1,4,28,0,9,4
40,47,0,71,3,3,24,0,9,4
38,47,0,71,1,3,27,0,9,4
39,45,0,71,2,3,26,0,9,4
38,46,0,70,2,2,29,0,9,4
39,46,0,71,1,2,27,0,9,4
39,45,0,70,1,2,27,0,9,4
35,46,0,70,2,4,29,0,9,4
35,46,0,70,2,4,29,0,9,4
