Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
129,94,1,85,2,-38,94,0,9,4
125,90,1,85,9,-33,93,0,9,4
134,96,1,84,1,-49,90,0,9,4
134,97,1,84,1,-49,90,0,9,4
133,91,1,84,3,-41,96,0,9,4
132,88,1,85,12,-45,91,0,9,4
130,97,1,84,4,-45,88,0,9,4
134,88,1,85,1,-42,97,0,9,4
132,93,1,84,4,-48,88,0,9,4
135,98,1,85,5,-47,93,0,9,4
134,94,1,85,1,-41,98,0,9,4
135,95,1,85,6,-46,94,0,9,4
136,93,1,85,2,-47,95,0,9,4
132,94,1,85,5,-43,93,0,9,4
135,89,1,85,0,-46,94,0,9,4
129,91,1,85,7,-43,89,0,9,4
132,94,1,85,2,-45,91,0,9,4
139,91,1,85,6,-52,94,0,9,4
139,94,1,85,12,-55,91,0,9,4
135,98,1,85,3,-46,94,0,9,4
137,90,1,85,8,-45,98,0,9,4
134,96,1,86,6,-49,90,0,9,4
130,94,1,87,8,-38,95,0,9,4
133,105,1,85,4,-44,94,0,9,4
134,99,1,85,20,-34,104,0,9,4
134,94,1,85,20,-34,104,0,9,4
136,100,1,86,10,-48,94,0,9,4
133,93,1,85,7,-38,99,0,9,4
130,92,1,84,13,-41,92,0,9,4
136,91,1,85,2,-50,92,0,9,4
136,90,1,84,15,-51,91,0,9,4
132,93,1,85,5,-46,90,0,9,4
135,97,1,85,3,-47,93,0,9,4
129,102,1,85,15,-36,96,0,9,4
133,94,1,86,14,-36,101,0,9,4
130,98,1,84,7,-40,93,0,9,4
140,91,1,85,13,-49,98,0,9,4
129,96,1,85,11,-41,91,0,9,4
132,96,1,85,2,-41,95,0,9,4
138,96,1,85,2,-49,96,0,9,4
134,95,1,85,5,-43,96,0,9,4
129,89,1,85,3,-38,94,0,9,4
