Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
2,52,0,69,1,14,35,0,9,4
3,48,0,70,0,13,36,0,9,4
2,51,0,70,2,11,38,0,9,4
3,52,0,70,2,12,37,0,9,4
3,52,0,71,0,13,36,0,9,4
2,53,0,70,2,13,36,0,9,4
2,54,0,71,2,15,34,0,9,4
3,50,0,71,1,14,35,0,9,4
2,49,0,70,2,12,37,0,9,4
3,47,0,70,5,11,38,0,9,4
2,53,0,70,4,11,38,0,9,4
4,51,0,70,1,13,36,0,9,4
3,49,0,70,1,12,37,0,9,4
2,52,0,70,0,11,38,0,9,4
3,54,0,70,2,14,35,0,9,4
3,53,0,70,4,14,35,0,9,4
3,51,0,70,2,14,35,0,9,4
3,53,0,70,2,12,37,0,9,4
1,50,0,70,0,14,35,0,9,4
1,51,0,71,2,12,37,0,9,4
2,52,0,70,0,12,37,0,9,4
2,52,0,71,1,13,36,0,9,4
2,52,0,70,1,13,36,0,9,4
1,53,0,70,1,13,36,0,9,4
3,50,0,70,1,14,35,0,9,4
2,52,0,70,1,12,37,0,9,4
2,50,0,71,0,13,36,0,9,4
2,51,0,70,2,12,37,0,9,4
3,50,0,70,1,11,38,0,9,4
3,50,0,70,1,12,37,0,9,4
1,49,0,71,0,12,37,0,9,4
1,56,0,70,2,12,37,0,9,4
1,49,0,71,4,15,34,0,9,4
2,49,0,70,1,11,38,0,9,4
4,56,0,70,1,11,38,0,9,4
1,61,0,70,0,15,34,0,9,4
2,58,0,71,9,18,31,0,9,4
3,58,0,71,7,16,33,0,9,4
3,61,0,70,9,11,38,0,9,4
1,54,0,71,4,14,35,0,9,4
1,51,0,70,3,12,37,0,9,4
2,55,0,70,2,12,37,0,9,4
1,55,0,71,2,15,34,0,9,4
1,50,0,70,4,15,34,0,9,4
1,53,0,70,0,12,37,0,9,4
2,56,0,70,1,14,35,0,9,4
3,56,0,70,0,15,34,0,9,4
1,45,0,70,4,15,34,0,9,4
2,56,0,70,5,10,39,0,9,4
2,63,0,71,0,15,34,0,9,4
3,50,0,69,5,19,30,0,9,4
5,44,0,70,2,12,37,0,9,4
4,51,0,70,8,9,40,0,9,4
1,55,0,70,8,13,36,0,9,4
3,57,0,70,4,15,34,0,9,4
3,49,0,69,9,16,33,0,9,4
3,49,0,69,2,11,38,0,9,4
2,45,0,70,5,11,38,0,9,4
1,47,0,69,8,10,39,0,9,4
1,46,0,70,0,11,38,0,9,4
1,49,0,70,1,10,39,0,9,4
3,58,0,70,1,11,38,0,9,4
3,56,0,70,8,16,33,0,9,4
2,57,0,71,5,15,34,0,9,4
2,53,0,69,2,18,31,0,9,4
2,45,0,69,1,14,35,0,9,4
4,58,0,70,7,10,39,0,9,4
4,56,0,70,2,16,33,0,9,4
2,62,0,69,1,15,34,0,9,4
4,66,0,70,12,19,30,0,9,4
3,36,0,69,7,21,28,0,9,4
3,61,0,70,5,15,34,0,9,4
3,58,0,70,2,19,30,0,9,4
4,59,0,71,1,16,33,0,9,4
1,57,0,71,1,17,32,0,9,4
2,58,0,70,2,14,35,0,9,4
1,54,0,71,1,16,33,0,9,4
2,57,0,70,2,14,35,0,9,4
1,57,0,70,2,16,33,0,9,4
3,56,0,70,0,16,33,0,9,4
2,61,0,70,1,15,34,0,9,4
3,58,0,70,2,18,31,0,9,4
3,49,0,70,0,18,31,0,9,4
1,52,0,71,5,12,37,0,9,4
2,53,0,71,3,13,36,0,9,4
1,49,0,71,5,14,35,0,9,4
3,56,0,70,1,11,38,0,9,4
1,55,0,70,2,15,34,0,9,4
2,54,0,70,1,15,34,0,9,4
2,53,0,69,4,14,35,0,9,4
1,57,0,70,1,14,35,0,9,4
4,54,0,70,2,16,33,0,9,4
2,59,0,71,0,14,35,0,9,4
1,53,0,71,4,17,32,0,9,4
1,51,0,71,2,14,35,0,9,4
2,63,0,71,4,14,35,0,9,4
1,59,0,71,7,19,30,0,9,4
1,58,0,71,6,17,32,0,9,4
2,60,0,71,2,16,33,0,9,4
3,55,0,71,5,14,35,0,9,4
1,58,0,70,2,15,34,0,9,4
1,55,0,71,1,14,35,0,9,4
1,56,0,71,0,15,34,0,9,4
3,61,0,70,1,15,34,0,9,4
3,57,0,71,5,18,31,0,9,4
1,55,0,71,1,16,33,0,9,4
4,57,0,71,0,15,34,0,9,4
2,61,0,71,2,16,33,0,9,4
1,40,0,71,12,8,41,0,9,4
2,40,0,71,6,7,42,0,9,4
1,46,0,70,1,7,42,0,9,4
1,38,0,70,5,11,38,0,9,4
2,59,0,71,0,7,42,0,9,4
1,63,0,70,10,17,32,0,9,4
3,59,0,70,11,19,30,0,9,4
2,58,0,70,14,17,32,0,9,4
1,64,0,70,1,16,33,0,9,4
1,58,0,70,1,20,29,0,9,4
1,64,0,70,1,16,33,0,9,4
3,69,0,71,5,20,29,0,9,4
1,61,0,70,4,23,26,0,9,4
1,61,0,71,2,18,31,0,9,4
5,61,0,70,2,18,31,0,9,4
4,60,0,70,7,18,31,0,9,4
2,65,0,70,1,17,32,0,9,4
4,61,0,70,4,21,28,0,9,4
2,60,0,70,0,18,31,0,9,4
2,62,0,70,0,17,32,0,9,4
1,66,0,70,2,16,33,0,9,4
1,66,0,71,5,21,28,0,9,4
1,55,0,71,3,21,28,0,9,4
1,41,0,70,1,15,34,0,9,4
1,46,0,71,18,8,41,0,9,4
4,41,0,70,15,10,39,0,9,4
1,41,0,71,9,8,41,0,9,4
1,40,0,71,0,8,41,0,9,4
2,40,0,70,4,7,42,0,9,4
3,39,0,70,1,7,42,0,9,4
1,40,0,70,1,8,41,0,9,4
2,41,0,71,0,7,42,0,9,4
1,40,0,70,2,8,41,0,9,4
2,61,0,71,5,11,38,0,9,4
1,40,0,70,14,18,31,0,9,4
1,52,0,71,1,7,42,0,9,4
1,50,0,71,2,13,36,0,9,4
3,39,0,71,5,9,40,0,9,4
1,62,0,71,6,7,42,0,9,4
1,40,0,71,9,19,30,0,9,4
1,39,0,71,9,19,30,0,9,4
1,49,0,70,1,8,41,0,9,4
1,42,0,70,9,12,37,0,9,4
1,52,0,70,2,8,41,0,9,4
1,49,0,71,7,13,36,0,9,4
2,56,0,70,1,11,38,0,9,4
3,38,0,71,9,15,34,0,9,4
2,61,0,70,8,7,42,0,9,4
1,38,0,71,9,18,31,0,9,4
4,64,0,71,11,7,42,0,9,4
4,26,0,69,18,20,29,0,9,4
4,41,0,69,21,3,46,0,9,4
2,48,0,71,1,8,41,0,9,4
3,41,0,70,12,11,38,0,9,4
4,42,0,69,7,8,41,0,9,4
4,41,0,71,0,8,41,0,9,4
1,57,0,70,4,8,41,0,9,4
4,26,0,70,11,16,33,0,9,4
3,58,0,70,7,3,46,0,9,4
1,40,0,70,11,16,33,0,9,4
3,65,0,70,12,7,42,0,9,4
2,51,0,71,25,21,28,0,9,4
1,54,0,70,4,13,36,0,9,4
3,37,0,70,9,14,35,0,9,4
1,36,0,70,21,6,43,0,9,4
2,35,0,71,9,6,43,0,9,4
2,37,0,70,11,6,43,0,9,4
3,50,0,71,0,6,43,0,9,4
1,38,0,71,8,12,37,0,9,4
1,38,0,70,1,7,42,0,9,6
1,59,0,71,1,7,42,0,9,6
1,68,0,71,35,18,31,0,9,1
1,63,0,71,34,23,26,0,9,3
1,59,0,71,5,14,35,0,9,4
1,58,0,70,8,17,32,0,9,4
