Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
32,64,0,63,0,13,18,0,9,4
30,61,0,64,18,15,18,0,9,4
28,63,0,64,3,14,22,0,9,4
33,66,0,64,4,14,14,0,9,4
28,61,0,63,2,17,17,0,9,4
34,62,0,63,6,12,16,0,9,4
30,60,0,63,5,14,19,0,9,4
31,62,0,63,5,13,20,0,9,4
33,61,0,64,1,13,16,0,9,4
30,61,0,64,0,14,19,0,9,4
31,62,0,64,0,13,20,0,9,4
30,61,0,63,3,14,19,0,9,4
29,60,0,64,1,14,21,0,9,4
26,60,0,63,5,14,24,0,9,4
33,62,0,64,4,12,18,0,9,4
30,61,0,63,2,14,19,0,9,4
31,61,0,64,4,13,20,0,9,4
29,61,0,63,3,14,21,0,9,4
33,65,0,64,3,13,16,0,9,4
30,61,0,64,5,16,16,0,9,4
31,63,0,63,1,13,20,0,9,4
30,62,0,64,2,15,18,0,9,4
32,63,0,64,2,14,16,0,9,4
26,62,0,64,3,16,21,0,9,4
30,60,0,64,1,14,19,0,9,4
31,64,0,64,4,13,20,0,9,4
31,61,0,64,5,15,16,0,9,4
30,61,0,64,0,14,19,0,9,4
29,65,0,63,1,14,21,0,9,5
29,60,0,64,1,16,17,0,9,2
30,62,0,64,2,13,21,0,9,4
31,61,0,64,3,14,18,0,9,4
28,61,0,63,5,14,22,0,9,4
27,59,0,63,2,14,23,0,9,4
28,59,0,63,6,13,24,0,9,4
29,62,0,64,1,13,22,0,9,4
32,64,0,63,7,14,16,0,9,4
30,62,0,63,6,15,18,0,9,4
28,64,0,63,2,15,21,0,9,4
31,63,0,63,1,15,16,0,9,4
28,62,0,63,3,15,21,0,9,4
28,63,0,64,0,15,21,0,9,4
31,60,0,64,0,15,16,0,9,4
30,61,0,64,2,13,21,0,9,4
31,60,0,63,2,13,20,0,9,4
29,61,0,63,6,13,22,0,9,4
33,63,0,63,5,13,16,0,9,4
29,62,0,63,2,15,19,0,9,4
30,62,0,64,3,14,19,0,9,4
32,61,0,63,1,14,16,0,9,4
32,61,0,63,2,13,18,0,9,4
30,61,0,63,0,14,19,0,9,4
31,60,0,63,4,13,20,0,9,4
31,60,0,63,2,13,20,0,9,4
28,61,0,63,3,14,22,0,9,4
28,61,0,63,2,14,22,0,9,4
30,60,0,63,1,14,19,0,9,4
