108,79,1,0,12,-26,76,0,9,2
91,78,1,0,5,-10,68,0,9,2
96,80,1,0,1,-15,70,0,9,2
92,79,1,0,17,-10,69,0,9,2
90,79,1,0,1,-9,67,0,9,2
91,80,1,0,5,-10,68,0,9,2
106,79,1,0,15,-24,75,0,9,2
95,80,1,0,5,-13,71,0,9,2
94,80,1,0,2,-12,70,0,9,2
94,79,1,0,13,-12,70,0,9,2
105,78,1,0,10,-23,75,0,9,2
88,79,1,0,5,-8,66,0,9,2
105,79,1,0,12,-23,75,0,9,2
94,79,1,0,12,-12,70,0,9,2
89,79,1,0,1,-8,67,0,9,2
89,78,1,0,17,-8,67,0,9,2
88,82,1,0,5,-8,66,0,9,2
89,79,1,0,3,-5,69,0,9,2
93,79,1,0,4,-12,69,0,9,2
94,78,1,0,5,-12,70,0,9,2
106,79,1,0,20,-25,74,0,9,2
107,79,1,0,15,-26,75,0,9,2
89,80,1,0,5,-8,67,0,9,2
91,81,1,0,16,-9,69,0,9,2
89,78,1,0,20,-6,69,0,9,2
94,79,1,0,5,-13,69,0,9,2
92,79,1,0,2,-11,68,0,9,2
92,78,1,0,5,-11,68,0,9,2
106,79,1,0,13,-25,74,0,9,2
97,80,1,0,5,-15,72,0,9,2
107,78,1,0,16,-25,76,0,9,2
109,77,1,0,3,-28,76,0,9,2
93,79,1,0,4,-13,68,0,9,2
91,79,1,0,17,-10,68,0,9,2
93,78,1,0,17,-12,69,0,9,2
94,76,1,0,1,-13,69,0,9,2
98,76,1,0,9,-19,69,0,9,2
98,76,1,0,7,-19,69,0,9,2
89,77,1,0,5,-10,65,0,9,2
91,80,1,0,8,-11,67,0,9,2
87,80,1,0,14,-5,67,0,9,2
90,79,1,0,3,-8,68,0,9,2
94,81,1,0,3,-12,70,0,9,2
88,79,1,0,1,-5,68,0,9,2
94,81,1,0,4,-12,70,0,9,2
98,80,1,0,4,-15,73,0,9,2
98,79,1,0,11,-16,72,0,9,2
99,78,1,0,5,-17,72,0,9,2
91,77,1,0,7,-10,68,0,9,2
91,78,1,0,7,-11,67,0,9,2
95,78,1,0,3,-14,70,0,9,2
94,79,1,0,3,-13,69,0,9,2
96,77,1,0,5,-14,71,0,9,2
102,77,1,0,8,-22,72,0,9,2
96,77,1,0,3,-16,69,0,9,2
97,80,1,0,3,-17,70,0,9,2
95,77,1,0,9,-13,71,0,9,2
93,78,1,0,3,-13,68,0,9,2
92,78,1,0,6,-11,68,0,9,2
106,80,1,0,12,-25,74,0,9,2
99,77,1,0,5,-17,72,0,9,2
103,77,1,0,12,-23,72,0,9,2
96,72,1,0,10,-16,69,0,9,2
94,74,1,0,8,-18,64,0,9,2
106,73,1,0,5,-28,71,0,9,2
92,77,1,0,4,-15,65,0,9,2
95,74,1,0,5,-15,69,0,9,2
94,74,1,0,13,-16,66,0,9,2
